"Time","crm ai"
"2025-05-18",8
"2025-05-25",9
"2025-06-01",13
"2025-06-08",20
"2025-06-15",20
"2025-06-22",19
"2025-06-29",17
"2025-07-06",14
"2025-07-13",17
"2025-07-20",19
"2025-07-27",20
"2025-08-03",40
"2025-08-10",62
"2025-08-17",54
"2025-08-24",46
"2025-08-31",45
"2025-09-07",40
"2025-09-14",45
"2025-09-21",62
"2025-09-28",52
"2025-10-05",46
"2025-10-12",45
"2025-10-19",43
"2025-10-26",39
"2025-11-02",42
"2025-11-09",43
"2025-11-16",50
"2025-11-23",41
"2025-11-30",50
"2025-12-07",46
"2025-12-14",46
"2025-12-21",31
"2025-12-28",29
"2026-01-04",39
"2026-01-11",45
"2026-01-18",47
"2026-01-25",45
"2026-02-01",50
"2026-02-08",48
"2026-02-15",58
"2026-02-22",71
"2026-03-01",73
"2026-03-08",61
"2026-03-15",71
"2026-03-22",73
"2026-03-29",100
"2026-04-05",82
"2026-04-12",88
"2026-04-19",72
"2026-04-26",94
"2026-05-03",43
"2026-05-10",25
"2026-05-17",26
